,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,rikitea,8,PF,1580101465,83,79.12,-23.12,-134.97,7.4
1,hithadhoo,79,MV,1580101278,80,82.22,-0.6,73.08,11.61
2,hobart,48,AU,1580101465,30,72.0,-42.88,147.33,17.22
3,albany,90,US,1580101465,100,37.99,42.6,-73.97,4.7
4,mujiayingzi,100,CN,1580101466,27,33.42,42.12,118.78,3.33
5,tiznit,0,MA,1580101466,48,48.54,29.58,-9.5,3.74
6,klaksvik,97,FO,1580101466,93,35.6,62.23,-6.59,13.87
7,puerto ayora,100,EC,1580101188,26,75.0,-0.74,-90.35,3.0
8,catamarca,100,AR,1580101466,91,59.0,-28.47,-65.79,1.99
9,ushuaia,75,AR,1580101285,66,48.2,-54.8,-68.3,5.82
10,bonavista,96,CA,1580101467,83,28.99,48.65,-53.11,4.0
11,kamloops,75,CA,1580101467,75,41.0,50.67,-120.32,20.8
12,hermanus,82,ZA,1580101467,76,59.0,-34.42,19.23,1.01
13,mataura,88,NZ,1580101285,73,63.0,-46.19,168.86,8.01
14,busselton,0,AU,1580101467,7,100.99,-33.65,115.33,15.41
15,cape town,20,ZA,1580101259,82,63.0,-33.93,18.42,5.82
16,jamestown,90,US,1580101448,92,33.01,42.1,-79.24,12.75
17,thompson,90,CA,1580101468,84,-2.2,55.74,-97.86,1.81
18,tommot,99,RU,1580101468,91,17.71,58.96,126.29,9.26
19,kruisfontein,29,ZA,1580101468,68,60.78,-34.0,24.73,10.65
20,punta arenas,75,CL,1580101468,62,51.8,-53.15,-70.92,9.17
21,buala,95,SB,1580101468,74,84.7,-8.14,159.59,8.9
22,kodiak,90,US,1580101469,66,15.8,57.79,-152.41,11.41
23,lebu,27,CL,1580101469,70,54.18,-37.62,-73.65,5.95
24,kapaa,1,US,1580101373,83,77.0,22.08,-159.32,9.17
25,catuday,100,PH,1580101469,80,78.1,16.29,119.81,14.97
26,ponta do sol,20,PT,1580101469,71,57.2,32.67,-17.1,1.12
27,tarakan,18,ID,1580101470,70,84.92,3.3,117.63,9.69
28,marzuq,0,YE,1580101470,34,57.56,14.4,46.47,9.71
29,vagur,100,FO,1580101470,77,41.77,61.47,-6.81,52.41
30,vaini,40,TO,1580101470,83,82.4,-21.2,-175.2,6.93
31,alberton,100,CA,1580101471,75,36.0,46.82,-64.07,13.49
32,barrow,75,US,1580101445,74,-25.6,71.29,-156.79,9.17
33,jacobabad,42,PK,1580101210,39,68.29,28.28,68.44,12.46
34,tynda,99,RU,1580101471,92,-1.95,55.17,124.72,1.88
35,laurel,1,US,1580101283,74,41.0,39.1,-76.85,6.93
36,nador,20,MA,1580101268,81,51.8,35.17,-2.93,1.12
37,nikolskoye,99,RU,1580101174,73,27.0,59.7,30.79,8.95
38,urucara,86,BR,1580101472,95,74.3,-2.54,-57.76,2.1
39,ugoofaaru,100,MV,1580101472,75,81.27,5.67,73.0,9.22
40,san patricio,0,MX,1580101472,77,75.36,19.22,-104.7,9.84
41,fortuna,90,US,1580101473,81,51.8,40.6,-124.16,8.05
42,praia,0,CV,1580101473,60,73.4,14.92,-23.51,12.75
43,mount gambier,100,AU,1580101473,43,73.4,-37.83,140.77,12.75
44,cherskiy,86,RU,1580101424,89,-23.19,68.75,161.3,1.03
45,castro,1,BR,1580101473,91,63.59,-24.79,-50.01,4.32
46,saint-philippe,75,RE,1580101474,61,80.6,-21.36,55.77,6.93
47,shenjiamen,100,CN,1580101474,84,48.22,29.96,122.3,29.39
48,bonthe,84,SL,1580101474,87,72.27,7.53,-12.51,5.08
49,borogontsy,100,RU,1580101474,96,-22.88,62.67,131.17,7.2
50,kochi,99,IN,1580101448,65,82.4,9.94,76.26,5.82
51,hilo,75,US,1580101207,69,75.2,19.73,-155.09,5.82
52,namatanai,52,PG,1580101475,72,85.91,-3.67,152.43,10.29
53,waitati,64,NZ,1580101475,84,59.56,-45.75,170.57,9.44
54,hasaki,75,JP,1580101475,61,46.4,35.73,140.83,9.17
55,honningsvag,75,NO,1580101475,73,21.2,70.98,25.97,9.17
56,aklavik,90,CA,1580101475,68,-18.4,68.22,-135.01,9.17
57,cockburn town,0,TC,1580101476,75,75.2,21.46,-71.14,8.97
58,surt,49,LY,1580101476,34,56.1,31.21,16.59,8.05
59,bethel,90,US,1580101476,64,39.99,41.37,-73.41,9.17
60,mogadishu,85,SO,1580101476,74,78.8,2.04,45.34,11.41
61,pitimbu,93,BR,1580101476,87,78.8,-7.47,-34.81,4.7
62,ancud,3,CL,1580101476,87,48.2,-41.87,-73.82,4.7
63,taoudenni,85,ML,1580101477,25,68.05,22.68,-3.98,7.78
64,bluff,96,NZ,1580101477,73,63.0,-46.6,168.33,8.01
65,kuusamo,93,FI,1580101184,83,-13.0,65.97,29.18,2.24
66,semey,75,KZ,1580101477,85,24.8,50.41,80.23,22.37
67,bandar-e lengeh,0,IR,1580101477,54,57.2,26.56,54.88,6.93
68,matara,98,LK,1580101477,62,82.87,5.95,80.54,4.63
69,nisia floresta,75,BR,1580101478,88,80.6,-6.09,-35.21,4.7
70,souillac,75,MU,1580101478,83,80.01,-20.52,57.52,9.17
71,baft,0,IR,1580101478,43,31.84,29.23,56.61,5.82
72,lagos,43,NG,1580101300,64,73.4,6.58,3.75,9.17
73,nanchong,2,CN,1580101478,51,52.02,30.8,106.08,5.82
74,waipawa,53,NZ,1580101479,88,68.0,-41.41,175.52,25.28
75,butaritari,100,KI,1580101479,81,82.83,3.07,172.79,17.4
76,qaanaaq,52,GL,1580101479,51,-9.71,77.48,-69.36,2.64
77,porto novo,17,BJ,1580101479,83,71.6,6.5,2.6,4.7
78,bredasdorp,72,ZA,1580101479,76,55.4,-34.53,20.04,1.12
79,tasiilaq,100,GL,1580101479,50,30.2,65.61,-37.64,5.82
80,mayo,90,US,1580101480,60,42.01,38.89,-76.51,5.82
81,port keats,16,AU,1580101480,59,91.85,-14.25,129.55,8.68
82,santa rosalia,0,MX,1580101480,62,59.7,27.32,-112.28,4.99
83,ayan,64,RU,1580101480,72,7.43,56.45,138.17,3.06
84,mar del plata,0,AR,1580101480,59,60.8,-38.0,-57.56,12.75
85,zalantun,0,CN,1580101480,78,37.0,48.0,122.72,15.01
86,price,75,US,1580101481,92,28.0,39.6,-110.81,1.77
87,lorengau,100,PG,1580101266,76,84.33,-2.02,147.27,11.39
88,lunenburg,83,CA,1580101481,93,39.0,44.38,-64.32,3.0
89,port alfred,20,ZA,1580101481,74,64.99,-33.59,26.89,4.0
90,atuona,73,PF,1580101481,72,81.12,-9.8,-139.03,10.85
91,avarua,100,CK,1580101481,88,78.8,-21.21,-159.78,10.29
92,sulangan,46,PH,1580101482,79,81.05,11.14,123.72,8.5
93,bafoulabe,99,ML,1580101482,10,72.95,13.81,-10.83,5.99
94,honiara,20,SB,1580101253,70,89.6,-9.43,159.95,13.87
95,paita,94,PE,1580101482,75,75.85,-5.09,-81.11,5.79
96,mahebourg,75,MU,1580101482,83,80.01,-20.41,57.7,9.17
97,coquimbo,75,CL,1580101483,93,62.6,-29.95,-71.34,9.17
98,new norfolk,46,AU,1580101483,30,72.0,-42.78,147.06,17.22
99,zimapan,72,MX,1580101483,76,55.8,20.75,-99.35,1.14
100,yenagoa,33,NG,1580101483,89,70.25,4.92,6.26,2.51
101,ruidoso,1,US,1580101483,41,51.01,33.33,-105.67,8.05
102,bambous virieux,75,MU,1580101483,83,80.01,-20.34,57.76,9.17
103,brownsville,40,US,1580101332,93,64.0,25.9,-97.5,4.7
104,gotsu,75,JP,1580101484,87,44.6,35.0,132.22,13.87
105,ribeira grande,100,PT,1580101484,93,59.63,38.52,-28.7,25.1
106,balabac,6,PH,1580101484,66,85.1,7.99,117.06,6.53
107,petauke,96,ZM,1580101484,92,69.55,-14.24,31.33,4.45
108,vydrino,96,RU,1580101484,90,23.0,51.48,104.85,3.71
109,elizabeth city,1,US,1580101485,80,44.6,36.29,-76.25,3.36
110,beringovskiy,100,RU,1580101485,94,12.97,63.05,179.32,2.82
111,east london,36,ZA,1580101446,67,60.8,-33.02,27.91,16.11
112,carnarvon,0,AU,1580101485,74,82.4,-24.87,113.63,17.22
113,gravelbourg,100,CA,1580101485,96,23.83,49.88,-106.55,4.52
114,yellowknife,90,CA,1580101463,84,5.0,62.46,-114.35,2.24
115,bengkulu,75,ID,1580101486,67,85.68,-3.8,102.27,5.39
116,genhe,55,CN,1580101486,81,13.71,50.78,121.52,2.86
117,buin,0,CL,1580101486,47,75.2,-33.73,-70.75,3.36
118,bambanglipuro,33,ID,1580101486,64,86.07,-7.95,110.28,5.39
119,provideniya,0,RU,1580101486,76,-5.8,64.38,-173.3,4.47
120,komsomolskiy,40,UZ,1580101422,69,37.4,40.43,71.72,4.7
121,port macquarie,0,AU,1580101388,48,89.01,-31.43,152.92,18.34
122,norman wells,75,CA,1580101487,69,-11.2,65.28,-126.83,17.22
123,turukhansk,100,RU,1580101487,92,5.86,65.82,87.98,8.95
124,saint-francois,96,FR,1580101487,80,39.2,46.42,3.91,6.93
125,matagami,90,CA,1580101353,100,24.8,49.75,-77.63,10.29
126,gisborne,0,NZ,1580101288,52,79.93,-38.65,178.0,5.5
127,sorland,75,NO,1580101488,54,30.2,67.67,12.69,13.87
128,akita,75,JP,1580101488,48,41.0,39.72,140.12,5.82
129,sur,2,OM,1580101349,48,67.21,22.57,59.53,16.84
130,iseyin,0,NG,1580101489,18,65.7,7.97,3.6,2.71
131,la ronge,90,CA,1580101489,92,21.2,55.1,-105.28,3.36
132,gigmoto,50,PH,1580101489,80,80.49,13.78,124.39,12.8
133,camacha,40,PT,1580101489,77,60.8,33.08,-16.33,3.36
134,te anau,91,NZ,1580101489,90,61.07,-45.42,167.72,4.27
135,merritt island,75,US,1580101327,87,59.0,28.54,-80.67,5.19
136,tahoua,5,NE,1580101326,12,64.4,14.89,5.27,6.93
137,tuktoyaktuk,90,CA,1580101385,75,-18.4,69.45,-133.04,6.93
138,hun,47,LY,1580101490,26,56.07,29.13,15.95,5.46
139,chuy,20,UY,1580101490,96,70.27,-33.7,-53.46,7.05
140,nyuksenitsa,91,RU,1580101490,94,4.44,60.41,44.24,8.08
141,alyangula,99,AU,1580101490,56,95.0,-13.85,136.42,8.05
142,college,90,US,1580101491,68,-14.01,64.86,-147.8,3.51
143,tiksi,1,RU,1580101491,53,-29.45,71.69,128.87,1.12
144,hendersonville,90,US,1580101410,93,46.99,36.3,-86.62,5.99
145,linhares,100,BR,1580101277,96,72.32,-19.39,-40.07,3.69
146,toamasina,75,MG,1580101491,83,75.2,-18.17,49.38,8.05
147,victoria,20,HK,1580101455,54,63.0,22.29,114.16,11.41
148,rocha,39,UY,1580101264,98,65.3,-34.48,-54.33,6.46
149,cidreira,87,BR,1580101492,73,76.69,-30.18,-50.21,17.38
150,great yarmouth,98,GB,1580101492,93,45.0,52.61,1.73,10.29
151,baykit,99,RU,1580101493,94,6.35,61.67,96.37,4.03
152,avera,90,US,1580101493,66,52.0,33.19,-82.53,3.36
153,tabuk,100,PH,1580101493,71,79.93,17.42,121.44,5.59
154,termiz,90,UZ,1580101493,63,39.2,37.22,67.28,2.24
155,boma,52,GH,1580101493,97,64.78,7.08,-2.17,1.23
156,natal,75,BR,1580101494,88,80.6,-5.79,-35.21,4.7
157,hambantota,20,LK,1580101494,74,82.4,6.12,81.12,14.99
158,chokurdakh,100,RU,1580101398,96,-27.56,70.63,147.92,4.38
159,naumburg,67,DE,1580101494,86,39.99,51.15,11.82,10.29
160,upernavik,92,GL,1580101494,92,-14.66,72.79,-56.15,4.12
161,cam ranh,20,VN,1580101494,70,84.2,11.92,109.16,12.75
